feature,importance
shift,29
workload_intensity,24
spindle_vibration_rolling_max_24h,23
material_type,20
spindle_vibration_rolling_max_6h,16
spindle_vibration_rolling_max_12h,16
spindle_temp,12
spindle_vibration,7
spindle_speed,6
coolant_temp,5
spindle_vibration_rolling_std_6h,5
hydraulic_pressure_lag_2h,5
tool_vibration_rolling_min_24h,5
spindle_vibration_rolling_mean_6h,5
tool_wear,5
motor_current,5
tool_wear_rolling_mean_6h,4
tool_wear_rolling_min_6h,4
hydraulic_pressure,4
cutting_force,3
tool_wear_rolling_max_6h,3
acoustic_emission_rolling_max_24h,3
spindle_vibration_rolling_min_6h,3
vib_pressure_ratio,3
spindle_temp_rolling_mean_24h,2
feed_rate,2
hydraulic_pressure_rolling_std_12h,2
hydraulic_pressure_rolling_mean_24h,2
spindle_vibration_rolling_std_24h,2
hydraulic_pressure_rolling_mean_6h,2
tool_wear_ema_0.1,1
spindle_vibration_lag_6h,1
spindle_vibration_ema_0.3,1
acoustic_emission_lag_3h,1
acoustic_emission,1
spindle_temp_rolling_min_6h,1
spindle_temp_rolling_std_24h,1
spindle_temp_rolling_std_6h,1
coolant_pressure,1
degradation_index,1
spindle_vibration_ema_0.1,1
tool_wear_rolling_min_12h,1
spindle_temp_lag_1h,1
tool_wear_rolling_mean_12h,1
tool_vibration_rolling_std_24h,1
motor_current_rolling_std_24h,1
hydraulic_pressure_rolling_max_6h,1
tool_vibration_rolling_min_12h,1
tool_wear_rolling_max_12h,1
spindle_temp_rolling_min_24h,1
hydraulic_pressure_rolling_max_24h,1
motor_current_rolling_std_12h,1
tool_wear_lag_2h,1
motor_current_lag_3h,1
spindle_vibration_lag_2h,1
hydraulic_pressure_rolling_std_24h,1
spindle_vibration_rolling_mean_24h,1
spindle_temp_rolling_mean_6h,0
spindle_temp_rolling_min_12h,0
spindle_temp_rolling_max_12h,0
spindle_temp_rolling_mean_12h,0
spindle_temp_rolling_std_12h,0
spindle_temp_rolling_max_6h,0
tool_vibration,0
power_consumption,0
motor_current_rolling_min_6h,0
motor_current_rolling_mean_12h,0
motor_current_rolling_max_6h,0
tool_vibration_rolling_std_6h,0
motor_current_rolling_min_12h,0
motor_current_rolling_min_24h,0
motor_current_rolling_max_24h,0
motor_current_rolling_max_12h,0
motor_current_rolling_mean_24h,0
tool_vibration_rolling_mean_24h,0
tool_vibration_rolling_max_12h,0
tool_vibration_rolling_mean_12h,0
motor_current_rolling_std_6h,0
hydraulic_pressure_rolling_min_24h,0
motor_current_rolling_mean_6h,0
hydraulic_pressure_rolling_max_12h,0
hydraulic_pressure_rolling_min_12h,0
hydraulic_pressure_rolling_min_6h,0
hydraulic_pressure_rolling_mean_12h,0
hydraulic_pressure_rolling_std_6h,0
spindle_vibration_rolling_min_24h,0
spindle_vibration_rolling_mean_12h,0
spindle_temp_rolling_max_24h,0
spindle_vibration_rolling_min_12h,0
spindle_vibration_rolling_std_12h,0
acoustic_emission_rolling_std_6h,0
acoustic_emission_rolling_mean_6h,0
tool_wear_rolling_max_24h,0
tool_wear_rolling_min_24h,0
tool_wear_rolling_std_24h,0
tool_wear_rolling_mean_24h,0
tool_wear_rolling_std_6h,0
tool_wear_rolling_std_12h,0
tool_vibration_rolling_max_24h,0
tool_vibration_rolling_mean_6h,0
tool_vibration_rolling_min_6h,0
tool_vibration_rolling_max_6h,0
tool_vibration_rolling_std_12h,0
acoustic_emission_rolling_mean_24h,0
acoustic_emission_rolling_std_24h,0
acoustic_emission_rolling_min_6h,0
spindle_vibration_lag_1h,0
spindle_temp_lag_6h,0
spindle_temp_lag_3h,0
spindle_temp_lag_2h,0
hydraulic_pressure_lag_3h,0
hydraulic_pressure_lag_6h,0
spindle_vibration_lag_3h,0
hydraulic_pressure_lag_1h,0
motor_current_lag_2h,0
motor_current_lag_1h,0
acoustic_emission_rolling_max_12h,0
acoustic_emission_rolling_min_24h,0
acoustic_emission_rolling_min_12h,0
acoustic_emission_rolling_max_6h,0
acoustic_emission_rolling_mean_12h,0
acoustic_emission_rolling_std_12h,0
tool_wear_lag_1h,0
tool_vibration_lag_6h,0
tool_vibration_lag_3h,0
tool_vibration_lag_2h,0
motor_current_lag_6h,0
tool_vibration_lag_1h,0
acoustic_emission_lag_2h,0
tool_wear_lag_3h,0
spindle_temp_ema_0.3,0
spindle_temp_ema_0.1,0
hydraulic_pressure_ema_0.1,0
hydraulic_pressure_ema_0.3,0
motor_current_ema_0.1,0
acoustic_emission_lag_6h,0
acoustic_emission_lag_1h,0
tool_wear_lag_6h,0
tool_vibration_ema_0.3,0
tool_vibration_ema_0.1,0
motor_current_ema_0.3,0
tool_wear_ema_0.3,0
spindle_temp_rate_of_change,0
spindle_vibration_rate_of_change,0
acoustic_emission_ema_0.1,0
acoustic_emission_ema_0.3,0
motor_current_rate_of_change,0
hydraulic_pressure_rate_of_change,0
tool_wear_rate_of_change,0
tool_vibration_rate_of_change,0
acoustic_emission_rate_of_change,0
temp_vib_interaction,0
power_current_interaction,0
wear_force_interaction,0
