feature,importance
spindle_vibration_ema_0.1,0.20069581
acoustic_emission_ema_0.1,0.12870479
tool_wear_ema_0.3,0.12128097
hydraulic_pressure_rolling_mean_24h,0.10416015
degradation_index,0.08701011
hydraulic_pressure_lag_6h,0.08659464
hydraulic_pressure_rolling_mean_12h,0.05089501
hydraulic_pressure_lag_2h,0.03190431
hydraulic_pressure_rolling_min_24h,0.028183755
motor_current_rolling_min_6h,0.026862495
tool_vibration_ema_0.1,0.025844017
tool_wear_ema_0.1,0.020222265
motor_current_rolling_min_12h,0.017712278
motor_current_rolling_mean_24h,0.016812867
hydraulic_pressure,0.015537864
spindle_temp_rolling_min_24h,0.015201685
hydraulic_pressure_lag_1h,0.006849458
hydraulic_pressure_rolling_max_6h,0.004491709
tool_wear_rolling_std_24h,0.0040134224
tool_wear_rolling_std_12h,0.0027695196
tool_wear_rolling_std_6h,0.00090734335
coolant_temp,0.0006334947
tool_wear_rate_of_change,0.0006127889
hydraulic_pressure_rolling_max_24h,0.0005084489
spindle_temp_ema_0.3,0.00033210078
motor_current_lag_2h,0.00021286527
hydraulic_pressure_lag_3h,0.0001965002
power_consumption,0.00018679659
motor_current_lag_6h,0.00016136575
workload_intensity,9.372456e-05
hydraulic_pressure_rolling_max_12h,9.128798e-05
motor_current_rolling_std_6h,8.559229e-05
acoustic_emission_rolling_std_6h,5.355652e-05
motor_current_lag_1h,5.1374103e-05
spindle_temp_rolling_std_24h,3.409243e-05
shift,3.1402586e-05
spindle_vibration_rolling_mean_6h,1.862997e-05
spindle_vibration_rolling_std_6h,1.4147141e-05
material_type,1.2875295e-05
spindle_speed,8.138867e-06
motor_current_rolling_std_12h,3.4420923e-06
spindle_vibration_ema_0.3,2.5988063e-06
coolant_pressure,3.3616033e-07
spindle_temp,0.0
spindle_temp_rolling_min_12h,0.0
spindle_temp_rolling_std_12h,0.0
spindle_temp_rolling_max_6h,0.0
spindle_temp_rolling_mean_12h,0.0
spindle_temp_rolling_min_6h,0.0
spindle_temp_rolling_std_6h,0.0
acoustic_emission,0.0
spindle_temp_rolling_mean_6h,0.0
feed_rate,0.0
cutting_force,0.0
tool_vibration,0.0
tool_wear,0.0
spindle_vibration,0.0
motor_current,0.0
spindle_temp_rolling_mean_24h,0.0
spindle_temp_rolling_max_12h,0.0
motor_current_rolling_mean_6h,0.0
hydraulic_pressure_rolling_std_24h,0.0
hydraulic_pressure_rolling_std_12h,0.0
hydraulic_pressure_rolling_min_6h,0.0
motor_current_rolling_max_12h,0.0
motor_current_rolling_std_24h,0.0
tool_vibration_rolling_min_6h,0.0
tool_vibration_rolling_max_6h,0.0
tool_vibration_rolling_mean_12h,0.0
tool_vibration_rolling_std_12h,0.0
